time_start,time_end,spatial_uncertainty,latitude_center,longitude_center,key
1497657600000.0,1497744000000.0,5.0,25.67836832,91.9234343,1.0
1273881600000.0,1273968000000.0,10.0,-0.7888,29.8214,1.0
1271721600000.0,1271808000000.0,1.0,26.1965,91.763,1.0
1136332800000.0,1136419200000.0,5.0,-6.9343,110.1969,1.0
1440720000000.0,1440806400000.0,25.0,23.4495,92.81120000000001,1.0
1400371200000.0,1400457600000.0,5.0,18.3806,-66.3319,1.0
1463788800000.0,1463875200000.0,0.0,22.3945746,114.35439522,1.0
1457654400000.0,1457740800000.0,5.0,39.4415,-123.8033,1.0
1292112000000.0,1292198400000.0,1.0,45.6182,-122.8089,1.0
1303516800000.0,1303603200000.0,1.0,47.9151,-122.4112,1.0
1450483200000.0,1450569600000.0,25.0,5.3149,115.2203,1.0
1413072000000.0,1413158400000.0,5.0,13.6905,-89.32,1.0
1436572800000.0,1436659200000.0,5.0,32.9262,75.1447,1.0
1300665600000.0,1300752000000.0,5.0,40.7388,-111.6712,1.0
1264032000000.0,1264118400000.0,1.0,33.8342,-111.4726,1.0
1374451200000.0,1374537600000.0,2.658011264075835,27.9687,83.9066,1.0
1489536000000.0,1489622400000.0,0.0,45.92401,-122.75451399999999,1.0
1276646400000.0,1276732800000.0,10.0,27.0765,88.4808,1.0
1496620800000.0,1496707200000.0,5.0,53.72832063,-1.9592082,1.0
1411084800000.0,1411171200000.0,5.0,57.1225,-135.3549,1.0
1479686400000.0,1479772800000.0,0.0,20.855596,-156.16830499999995,1.0
1290038400000.0,1290124800000.0,5.0,18.0445,-76.2781,1.0
1399680000000.0,1399766400000.0,0.0,47.413,-122.0488,1.0
1300579200000.0,1300665600000.0,5.0,10.6575,124.9658,1.0
1447632000000.0,1447718400000.0,10.0,9.3626,-79.8221,1.0
1505692800000.0,1505779200000.0,0.0,-45.8478877,170.53999672999998,1.0
1214784000000.0,1214870400000.0,25.0,31.02,103.5,1.0
1257033600000.0,1257120000000.0,0.679545971739459,32.0823,34.9364,1.0
1541289600000.0,1541376000000.0,1.0,48.507403659999994,-124.28619087,1.0
1304380800000.0,1304467200000.0,5.0,38.6487,-83.7193,1.0
1410912000000.0,1410998400000.0,1.0,13.4582,144.7187,1.0
1279065600000.0,1279152000000.0,10.0,35.2507,137.8163,1.0
1284854400000.0,1284940800000.0,25.0,30.7198,77.1695,1.0
1498262400000.0,1498348800000.0,1.0,36.29586263,-81.743517,1.0
1378339200000.0,1378425600000.0,10.0,47.6388,-120.5933,1.0
1386720000000.0,1386806400000.0,10.0,10.8237,-61.0955,1.0
1265587200000.0,1265673600000.0,10.0,-5.8645,105.7474,1.0
1286150400000.0,1286236800000.0,10.0,18.5554,105.663,1.0
1381017600000.0,1381104000000.0,5.0,26.1309,91.8383,1.0
1443225600000.0,1443312000000.0,0.0,7.8794,98.2916,1.0
1218931200000.0,1219017600000.0,25.0,16.95,121.045,1.0
1426377600000.0,1426464000000.0,23.08051177168398,33.7732,74.1011,1.0
1373155200000.0,1373241600000.0,5.0,31.5596,77.1679,1.0
1299888000000.0,1299974400000.0,1.0,48.0943,-122.4971,1.0
1486598400000.0,1486684800000.0,1.0,47.4169527,-123.13174916,1.0
1435363200000.0,1435449600000.0,0.8629084314090375,27.0076,88.251,1.0
1306281600000.0,1306368000000.0,25.0,16.7221,121.0046,1.0
1285632000000.0,1285718400000.0,5.0,5.363,100.277,1.0
1285891200000.0,1285977600000.0,1.0,9.9108,-84.1764,1.0
1298592000000.0,1298678400000.0,10.0,34.2808,-118.2192,1.0
1488844800000.0,1488931200000.0,1.0,40.912138770000006,-122.11096396,1.0
1492992000000.0,1493078400000.0,1.0,-40.31050874,175.77623089,1.0
1488326400000.0,1488412800000.0,1.0,51.7579283,-3.79544685,1.0
1450137600000.0,1450224000000.0,10.0,13.2861,-87.0329,1.0
1377820800000.0,1377907200000.0,5.0,33.8426,-116.8648,1.0
1309910400000.0,1309996800000.0,10.0,18.5,-69.9833,1.0
1302480000000.0,1302566400000.0,5.0,1.4499,-77.3834,1.0
1367020800000.0,1367107200000.0,5.0,-1.1679,36.6905,1.0
1407888000000.0,1407974400000.0,3.3683338281945274,28.9446,82.2494,1.0
1258329600000.0,1258416000000.0,1.0,48.3486,-124.5316,1.0
1386633600000.0,1386720000000.0,5.0,-22.8213,-43.3991,1.0
1466553600000.0,1466640000000.0,10.0,3.58872762,125.49385910999997,1.0
1415059200000.0,1415145600000.0,1.0,43.8214,7.2412,1.0
1264032000000.0,1264118400000.0,5.0,34.0373,-116.5898,1.0
1531267200000.0,1531353600000.0,25.0,36.12460265,-112.72179711,1.0
1491436800000.0,1491523200000.0,1.0,30.61461423,78.3157525,1.0
1359244800000.0,1359331200000.0,25.0,37.9152,40.2306,1.0
1324944000000.0,1325030400000.0,5.0,10.37,123.97,1.0
1329436800000.0,1329523200000.0,5.0,10.71,125.01,1.0
1197331200000.0,1197417600000.0,0.0,46.1049,-123.336,1.0
1428710400000.0,1428796800000.0,1.0,39.4396,-81.1495,1.0
1294790400000.0,1294876800000.0,10.0,-22.3165,-42.8167,1.0
1527552000000.0,1527638400000.0,0.0,44.49271955,-109.99725728,1.0
1436832000000.0,1436918400000.0,5.0,37.4078,-82.4405,1.0
1537488000000.0,1537574400000.0,5.0,35.78431529,-82.50057675,1.0
1288828800000.0,1288915200000.0,17.279856038212728,17.686,121.8726,1.0
1335225600000.0,1335312000000.0,5.0,26.6057,118.7483,1.0
1233532800000.0,1233619200000.0,1.0,34.78823998,-4.46279979,1.0
1449792000000.0,1449878400000.0,25.0,38.2897,-120.5983,1.0
1526947200000.0,1527033600000.0,10.0,29.50293268,103.5044167,1.0
1485216000000.0,1485302400000.0,5.0,34.06239011,-118.58496068,1.0
1412812800000.0,1412899200000.0,1.0,11.1297,-84.7783,1.0
1442707200000.0,1442793600000.0,5.0,50.4729,-122.7105,1.0
1364256000000.0,1364342400000.0,5.0,27.6969,111.9933,1.0
1374105600000.0,1374192000000.0,5.0,39.0718,-107.1928,1.0
1378857600000.0,1378944000000.0,5.0,5.4175,100.2676,1.0
1419552000000.0,1419638400000.0,10.0,6.754,80.9514,1.0
1268352000000.0,1268438400000.0,5.0,42.8214,47.1188,1.0
1312329600000.0,1312416000000.0,5.0,17.9683,97.9422,1.0
1441497600000.0,1441584000000.0,1.0,14.7698,-88.7731,1.0
1230940800000.0,1231027200000.0,10.0,45.521,-122.67,1.0
1387670400000.0,1387756800000.0,5.0,0.6185,122.848,1.0
1418342400000.0,1418428800000.0,1.0,37.8237,-121.9995,1.0
1289865600000.0,1289952000000.0,10.0,10.3184,77.5277,1.0
1373932800000.0,1374019200000.0,5.0,5.9913,116.5754,1.0
1447286400000.0,1447372800000.0,5.0,41.3596,41.68,1.0
1186617600000.0,1186704000000.0,10.0,12.8733,74.8481,1.0
1499472000000.0,1499558400000.0,25.0,27.16009861,91.6036289,1.0
1284336000000.0,1284422400000.0,1.0,23.741826340000003,92.7141905,1.0
1545609600000.0,1545696000000.0,5.0,46.37241,8.09292,1.0
1199577600000.0,1199664000000.0,10.0,-8.1955,111.1038,1.0
1277510400000.0,1277596800000.0,5.0,13.9457,121.1622,1.0
1461283200000.0,1461369600000.0,1.0,43.8156,-91.2105,1.0
1393545600000.0,1393632000000.0,5.0,34.0633,-118.7002,1.0
1339891200000.0,1339977600000.0,5.0,52.2351,-10.2545,1.0
1281830400000.0,1281916800000.0,25.0,16.9752,120.911,1.0
1306540800000.0,1306627200000.0,0.0,38.8994,-90.2006,1.0
1435881600000.0,1435968000000.0,10.0,28.1046,84.6634,1.0
1345161600000.0,1345248000000.0,10.0,9.8232,77.1498,1.0
1390780800000.0,1390867200000.0,18.885738625015232,-7.5458,112.2273,1.0
1306627200000.0,1306713600000.0,1.0,44.1921,-72.4975,1.0
1284508800000.0,1284595200000.0,5.0,22.4179,103.9155,1.0
1292889600000.0,1292976000000.0,0.0,33.0744,-117.3092,1.0
1240531200000.0,1240617600000.0,1.0,20.904,-156.2441,1.0
1326240000000.0,1326326400000.0,1.0,40.4376,-80.0176,1.0
1533600000000.0,1533686400000.0,5.0,45.82061339,6.88121288,1.0
1500681600000.0,1500768000000.0,0.0,-45.837441000000005,170.587817,1.0
1312848000000.0,1312934400000.0,5.0,24.5958,72.7169,1.0
1499385600000.0,1499472000000.0,5.0,54.372128,48.29313889,1.0
1372896000000.0,1372982400000.0,1.0,35.6369,-82.5377,1.0
1464393600000.0,1464480000000.0,25.0,40.015,71.5577,1.0
1272326400000.0,1272412800000.0,10.0,41.8984,45.458,1.0
1284940800000.0,1285027200000.0,5.0,31.944,77.1179,1.0
1367625600000.0,1367712000000.0,5.0,6.8196,80.8448,1.0
1301270400000.0,1301356800000.0,1.0,47.5293,-120.6323,1.0
1273968000000.0,1274054400000.0,25.0,37.6921,-83.0302,1.0
1305158400000.0,1305244800000.0,5.0,41.4184,-81.6849,1.0
1265328000000.0,1265414400000.0,10.0,35.2555,59.211,1.0
1499558400000.0,1499644800000.0,10.0,25.632035700000003,94.10065403,1.0
1283126400000.0,1283212800000.0,10.0,16.3666,120.6832,1.0
1407974400000.0,1408060800000.0,10.0,27.737,84.6073,1.0
1288483200000.0,1288569600000.0,5.0,44.1473,9.8792,1.0
1310947200000.0,1311033600000.0,1.0,40.4243,-79.9373,1.0
1295308800000.0,1295395200000.0,25.0,6.3333,124.95,1.0
1453334400000.0,1453420800000.0,0.0,47.6024,-122.4998,1.0
1293235200000.0,1293321600000.0,5.0,-21.1313,148.4943,1.0
1268524800000.0,1268611200000.0,5.0,42.6428,-70.939,1.0
